"Freq.","Gain","Phase","Group Delay"
"13215.66","3.000866","-164.403755083129","2.449368E-05"
"13376.79","3.349249","-165.847527860871","2.488838E-05"
"13539.9","3.695895","-167.332440948252","2.528921E-05"
"13704.99","4.040508","-168.859510727313","2.569395E-05"
"13872.09","4.382788","-170.429767754077","2.610238E-05"
"14041.24","4.722402","-172.044128487865","2.651216E-05"
"14212.44","5.058987","-173.703383350272","2.692117E-05"
"14385.73","5.392153","-175.408193351299","2.732719E-05"
"14561.14","5.721494","-177.15911050373","2.772812E-05"
"14738.68","6.046575","-178.956481981758","2.812092E-05"
"14918.39","6.36693","-180.800414892263","2.850184E-05"
"15100.29","6.68208","-182.690831311227","2.886831E-05"
"15284.41","6.991526","-184.627366140602","2.921636E-05"
"15470.77","7.294751","-186.60935033028","2.954183E-05"
"15659.41","7.591228","-188.635797179113","2.984084E-05"
"15850.34","7.880424","-190.70539465541","3.010902E-05"
"16043.61","8.161818","-192.816487154305","3.034272E-05"
"16239.23","8.434875","-194.966986222585","3.053678E-05"
"16437.23","8.699092","-197.154427821929","3.068726E-05"
"16637.65","8.953983","-199.376008699166","3.079064E-05"
"16840.52","9.199099","-201.6285196773","3.084331E-05"
"17045.85","9.434018","-203.908389983696","3.084201E-05"
"17253.69","9.658383","-206.211715951457","3.078393E-05"
"17464.07","9.871884","-208.534357422182","3.0668E-05"
"17677.01","10.07427","-210.871839347852","3.049226E-05"
"17892.54","10.26537","-213.219582854097","3.025729E-05"
"18110.71","10.44506","-215.572842432985","2.996292E-05"
"18331.53","10.61333","-217.92682071303","2.961101E-05"
"18555.04","10.77021","-220.276719920875","2.920377E-05"
"18781.29","10.91581","-222.61781953674","2.874377E-05"
"19010.29","11.05033","-224.945548713824","2.823543E-05"
"19242.08","11.17402","-227.255532095111","2.768255E-05"
"19476.7","11.28719","-229.54366242516","2.709036E-05"
"19714.18","11.39022","-231.806107851632","2.646374E-05"
"19954.55","11.48351","-234.039388258866","2.580783E-05"
"20197.86","11.56753","-236.240372938238","2.512815E-05"
"20444.13","11.64275","-238.406304493397","2.443007E-05"
"20693.41","11.70967","-240.534826067234","2.371899E-05"
"20945.72","11.76882","-242.623958272053","2.299965E-05"
